genID,busID,gen cat,operation cost,expansion cost,min gen,Ramp Rate MW/Min,max gen,reserve factor,start up cost,shut down cost,number on system,VG,exist,expand,max new units,min new units,provides reserves,capacity discount,FOR,gen type
223_STEAM_2,2,Coal,44.41335586,272830.2397,62,3,155,0,22784.79562,22784.79562,0,FALSE,FALSE,TRUE,1,0,1,1,4,223_STEAM_2
223_STEAM_3,2,Coal,48.20928513,272830.2397,140,4,350,0,36749.81356,36749.81356,0,FALSE,FALSE,TRUE,1,0,1,1,8,223_STEAM_3
316_STEAM_1,3,Coal,50.63592703,272830.2397,62,3,155,0,22784.79562,22784.79562,0,FALSE,FALSE,TRUE,1,0,1,1,4,316_STEAM_1
107_CC_1,1,Gas CC,106.6342979,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,107_CC_1
118_CC_1,1,Gas CC,108.4178311,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,118_CC_1
213_CC_3,2,Gas CC,114.5233869,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,213_CC_3
218_CC_1,2,Gas CC,131.2587748,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,218_CC_1
221_CC_1,2,Gas CC,107.6198842,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,221_CC_1
313_CC_1,3,Gas CC,108.8911508,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,313_CC_1
318_CC_1,3,Gas CC,115.3761004,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,318_CC_1
321_CC_1,3,Gas CC,108.0616352,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,321_CC_1
323_CC_1,3,Gas CC,113.1237167,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,323_CC_1
323_CC_2,3,Gas CC,113.1237167,69330.04638,170,4.14,355,0,28046.68102,28046.68102,0,FALSE,FALSE,TRUE,1,0,1,1,3.3,323_CC_2
113_CT_1,1,Gas CT,146.7167099,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,113_CT_1
113_CT_2,1,Gas CT,146.7167099,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,113_CT_2
113_CT_3,1,Gas CT,146.7167099,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,113_CT_3
113_CT_4,1,Gas CT,146.7167099,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,113_CT_4
123_CT_1,1,Gas CT,144.673773,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,123_CT_1
123_CT_4,1,Gas CT,144.673773,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,123_CT_4
123_CT_5,1,Gas CT,144.673773,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,123_CT_5
207_CT_1,2,Gas CT,167.2488293,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,207_CT_1
207_CT_2,2,Gas CT,167.2488293,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,207_CT_2
213_CT_1,2,Gas CT,146.7167099,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,213_CT_1
213_CT_2,2,Gas CT,146.7167099,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,213_CT_2
215_CT_4,2,Gas CT,152.7185925,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,215_CT_4
215_CT_5,2,Gas CT,152.7185925,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,215_CT_5
223_CT_4,2,Gas CT,211.8005666,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,223_CT_4
223_CT_5,2,Gas CT,211.8005666,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,223_CT_5
223_CT_6,2,Gas CT,211.8005666,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,223_CT_6
301_CT_3,3,Gas CT,158.0284148,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,301_CT_3
301_CT_4,3,Gas CT,158.0284148,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,301_CT_4
302_CT_3,3,Gas CT,179.1981966,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,302_CT_3
302_CT_4,3,Gas CT,179.1981966,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,302_CT_4
307_CT_1,3,Gas CT,152.6913939,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,307_CT_1
307_CT_2,3,Gas CT,152.6913939,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,307_CT_2
315_CT_6,3,Gas CT,128.7110631,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,315_CT_6
315_CT_7,3,Gas CT,128.7110631,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,315_CT_7
315_CT_8,3,Gas CT,128.7110631,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,315_CT_8
322_CT_5,3,Gas CT,133.3469581,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,322_CT_5
322_CT_6,3,Gas CT,133.3469581,59227.66819,22,3.7,55,0,5665.234428,5665.234428,0,FALSE,FALSE,TRUE,1,0,1,1,3.1,322_CT_6
122_HYDRO_1,1,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,122_HYDRO_1
122_HYDRO_2,1,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,122_HYDRO_2
122_HYDRO_3,1,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,122_HYDRO_3
122_HYDRO_4,1,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,122_HYDRO_4
122_HYDRO_5,1,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,122_HYDRO_5
122_HYDRO_6,1,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,122_HYDRO_6
201_HYDRO_4,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,201_HYDRO_4
215_HYDRO_1,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,215_HYDRO_1
215_HYDRO_2,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,215_HYDRO_2
215_HYDRO_3,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,215_HYDRO_3
222_HYDRO_1,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,222_HYDRO_1
222_HYDRO_2,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,222_HYDRO_2
222_HYDRO_3,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,222_HYDRO_3
222_HYDRO_4,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,222_HYDRO_4
222_HYDRO_5,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,222_HYDRO_5
222_HYDRO_6,2,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,222_HYDRO_6
322_HYDRO_1,3,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,322_HYDRO_1
322_HYDRO_2,3,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,322_HYDRO_2
322_HYDRO_3,3,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,322_HYDRO_3
322_HYDRO_4,3,Hydro,0,409509.474,0,50,50,0,0,0,0,FALSE,FALSE,TRUE,1,0,1,1,1,322_HYDRO_4
121_NUCLEAR_1,1,Nuclear,6.566671225,422715.1971,396,20,400,0,63999.8223,63999.8223,0,FALSE,FALSE,TRUE,1,0,1,1,12,121_NUCLEAR_1
101_CT_1,1,Oil CT,1189.178956,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,101_CT_1
101_CT_2,1,Oil CT,1189.178956,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,101_CT_2
102_CT_1,1,Oil CT,1213.428676,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,102_CT_1
102_CT_2,1,Oil CT,1213.428676,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,102_CT_2
201_CT_1,2,Oil CT,1174.183544,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,201_CT_1
201_CT_2,2,Oil CT,1174.183544,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,201_CT_2
202_CT_1,2,Oil CT,1136.609328,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,202_CT_1
202_CT_2,2,Oil CT,1136.609328,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,202_CT_2
301_CT_1,3,Oil CT,1230.287807,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,301_CT_1
301_CT_2,3,Oil CT,1230.287807,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,301_CT_2
302_CT_1,3,Oil CT,1230.287807,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,302_CT_1
302_CT_2,3,Oil CT,1230.287807,59227.66819,8,3,20,0,51.747,51.747,0,FALSE,FALSE,TRUE,1,0,1,1,10,302_CT_2
115_STEAM_1,1,Oil ST,1545.009351,69330.04638,5,1,12,0,703.7592,703.7592,0,FALSE,FALSE,TRUE,1,0,1,1,2,115_STEAM_1
115_STEAM_2,1,Oil ST,1545.009351,69330.04638,5,1,12,0,703.7592,703.7592,0,FALSE,FALSE,TRUE,1,0,1,1,2,115_STEAM_2
315_STEAM_1,3,Oil ST,1246.692907,69330.04638,5,1,12,0,703.7592,703.7592,0,FALSE,FALSE,TRUE,1,0,1,1,2,315_STEAM_1
315_STEAM_2,3,Oil ST,1246.692907,69330.04638,5,1,12,0,703.7592,703.7592,0,FALSE,FALSE,TRUE,1,0,1,1,2,315_STEAM_2
315_STEAM_3,3,Oil ST,1246.692907,69330.04638,5,1,12,0,703.7592,703.7592,0,FALSE,FALSE,TRUE,1,0,1,1,2,315_STEAM_3
315_STEAM_4,3,Oil ST,1246.692907,69330.04638,5,1,12,0,703.7592,703.7592,0,FALSE,FALSE,TRUE,1,0,1,1,2,315_STEAM_4
315_STEAM_5,3,Oil ST,1246.692907,69330.04638,5,1,12,0,703.7592,703.7592,0,FALSE,FALSE,TRUE,1,0,1,1,2,315_STEAM_5
101_pv_1,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.262497967,0,101_pv_1
101_pv_2,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.260449193,0,101_pv_2
101_pv_3,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.261801083,0,101_pv_3
101_pv_4,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.261410356,0,101_pv_4
101_pv_5,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.262133262,0,101_pv_5
102_pv_1,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.262558955,0,102_pv_1
102_pv_2,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.260612233,0,102_pv_2
102_pv_3,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.260599223,0,102_pv_3
102_pv_4,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.25906559,0,102_pv_4
102_pv_5,1,PV,0,136084.9768,0,150,150,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.261823391,0,102_pv_5
103_pv_1,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.199619959,0,103_pv_1
103_pv_2,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.199596546,0,103_pv_2
103_pv_3,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.200026278,0,103_pv_3
103_pv_4,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.199996493,0,103_pv_4
104_pv_1,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.262479264,0,104_pv_1
104_pv_2,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.262408925,0,104_pv_2
104_pv_3,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.262573592,0,104_pv_3
104_pv_4,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.261797017,0,104_pv_4
105_pv_1,1,PV,0,136084.9768,0,28,28,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.264232045,0,105_pv_1
107_pv_1,1,PV,0,136084.9768,0,125,125,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.272643625,0,107_pv_1
108_pv_1,1,PV,0,136084.9768,0,90,90,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.274654296,0,108_pv_1
110_pv_1,1,PV,0,136084.9768,0,75,75,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.255342896,0,110_pv_1
110_pv_2,1,PV,0,136084.9768,0,100,100,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.254838684,0,110_pv_2
113_pv_1,1,PV,0,136084.9768,0,100,100,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.260188183,0,113_pv_1
113_pv_2,1,PV,0,136084.9768,0,150,150,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.263722146,0,113_pv_2
115_pv_1,1,PV,0,136084.9768,0,43.75,43.75,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.26350039,0,115_pv_1
115_pv_2,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.20253746,0,115_pv_2
115_pv_3,1,PV,0,136084.9768,0,43.75,43.75,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.262827479,0,115_pv_3
115_pv_4,1,PV,0,136084.9768,0,43.75,43.75,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.264119958,0,115_pv_4
115_pv_5,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.201804142,0,115_pv_5
117_pv_1,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.200841465,0,117_pv_1
119_pv_1,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.201822937,0,119_pv_1
119_pv_2,1,PV,0,136084.9768,0,71.4745,71.4745,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.200959331,0,119_pv_2
121_pv_1,1,PV,0,136084.9768,0,97,97,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.273540106,0,121_pv_1
122_pv_1,1,PV,0,136084.9768,0,80,80,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.217845941,0,122_pv_1
123_pv_1,1,PV,0,136084.9768,0,200,200,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.269252106,0,123_pv_1
124_pv_1,1,PV,0,136084.9768,0,21,21,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.255834743,0,124_pv_1
203_pv_1,2,PV,0,136084.9768,0,100,100,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.276378757,0,203_pv_1
215_pv_1,2,PV,0,136084.9768,0,125,125,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.273905282,0,215_pv_1
217_pv_1,2,PV,0,136084.9768,0,150,150,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.270131831,0,217_pv_1
217_pv_2,2,PV,0,136084.9768,0,175,175,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.268186963,0,217_pv_2
224_pv_1,2,PV,0,136084.9768,0,125,125,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.277700364,0,224_pv_1
303_pv_1,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.284947244,0,303_pv_1
303_pv_4,3,PV,0,136084.9768,0,86.9,86.9,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.281223602,0,303_pv_4
303_pv_5,3,PV,0,136084.9768,0,88.9,88.9,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.28236724,0,303_pv_5
306_pv_1,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.282135537,0,306_pv_1
306_pv_2,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.282162443,0,306_pv_2
306_pv_3,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.281360327,0,306_pv_3
310_pv_1,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.285951598,0,310_pv_1
310_pv_2,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.284442861,0,310_pv_2
312_pv_1,3,PV,0,136084.9768,0,87.3,87.3,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.286433133,0,312_pv_1
312_pv_4,3,PV,0,136084.9768,0,87.3,87.3,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.28631616,0,312_pv_4
313_pv_1,3,PV,0,136084.9768,0,89.8,89.8,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.279519023,0,313_pv_1
313_pv_3,3,PV,0,136084.9768,0,91.8,91.8,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.273603894,0,313_pv_3
313_pv_6,3,PV,0,136084.9768,0,89.6,89.6,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.275483631,0,313_pv_6
314_pv_1,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.285965051,0,314_pv_1
314_pv_2,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.28590374,0,314_pv_2
314_pv_3,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.279647147,0,314_pv_3
314_pv_4,3,PV,0,136084.9768,0,89,89,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.27689773,0,314_pv_4
314_pv_5,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.281164705,0,314_pv_5
314_pv_7,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.285944761,0,314_pv_7
319_pv_1,3,PV,0,136084.9768,0,200,200,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.277130578,0,319_pv_1
320_pv_1,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.280172702,0,320_pv_1
324_pv_1,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.282158032,0,324_pv_1
324_pv_2,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.282179205,0,324_pv_2
324_pv_3,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.282323881,0,324_pv_3
324_pv_5,3,PV,0,136084.9768,0,87.6,87.6,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.282638603,0,324_pv_5
324_pv_7,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.28455203,0,324_pv_7
324_pv_8,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.282106646,0,324_pv_8
325_pv_1,3,PV,0,136084.9768,0,51.6195,51.6195,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.281759511,0,325_pv_1
118_rtpv_1,1,RTPV,0,136084.9768,0,10.66408455,10.66408455,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.200240584,0,118_rtpv_1
118_rtpv_10,1,RTPV,0,136084.9768,0,12.57505149,12.57505149,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.186456087,0,118_rtpv_10
118_rtpv_11,1,RTPV,0,136084.9768,0,12.57505149,12.57505149,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.177058957,0,118_rtpv_11
118_rtpv_12,1,RTPV,0,136084.9768,0,8.261374907,8.261374907,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.186670646,0,118_rtpv_12
118_rtpv_13,1,RTPV,0,136084.9768,0,10.66408455,10.66408455,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.197932562,0,118_rtpv_13
118_rtpv_14,1,RTPV,0,136084.9768,0,10.66408455,10.66408455,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.200932349,0,118_rtpv_14
118_rtpv_15,1,RTPV,0,136084.9768,0,8.261374907,8.261374907,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.186513552,0,118_rtpv_15
118_rtpv_16,1,RTPV,0,136084.9768,0,11.05328888,11.05328888,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.185382765,0,118_rtpv_16
118_rtpv_17,1,RTPV,0,136084.9768,0,5.17953017,5.17953017,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.187337655,0,118_rtpv_17
118_rtpv_18,1,RTPV,0,136084.9768,0,5.17953017,5.17953017,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.188830062,0,118_rtpv_18
118_rtpv_19,1,RTPV,0,136084.9768,0,12.57505149,12.57505149,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.187329713,0,118_rtpv_19
118_rtpv_2,1,RTPV,0,136084.9768,0,10.66408455,10.66408455,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.200166923,0,118_rtpv_2
118_rtpv_20,1,RTPV,0,136084.9768,0,10.66408455,10.66408455,0,0,0,0,TRUE,FALSE,TRUE,1,0,1,0.200212828,0,118_rtpv_20
