Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,12, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,13, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,14, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_MISO_01 ) Log.txt,1, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,1, 3732036, 12960, 371869, 243900632,  00:16:14.3,  01:59:24.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,2, 3897964, 12960, 537797, 244232497,  00:34:52.2,  02:49:25.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,3, 3897964, 12960, 537797, 244232497,  00:25:03.4,  02:35:41.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,4, 3897964, 12960, 537797, 244232497,  00:34:29.9,  02:45:04.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,5, 3897964, 12960, 537797, 244232497,  00:26:10.5,  02:35:36.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,6, 3897964, 12960, 537797, 244232497,  00:39:07.0,  02:50:00.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,7, 3897964, 12960, 537797, 244232497,  00:24:10.8,  02:37:10.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,8, 3897964, 12960, 537797, 244232497,  00:51:26.1,  03:07:13.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,9, 3897964, 12960, 537797, 244232497,  00:52:55.7,  03:03:40.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,10, 3897964, 12960, 537797, 244232497,  00:34:31.5,  02:45:38.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,11, 3897964, 12960, 537797, 244232497,  00:27:53.1,  02:43:05.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,12, 3897964, 12960, 537797, 244232497,  00:42:23.3,  02:49:00.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,13, 3897964, 12960, 537797, 244232497,  00:46:43.5,  03:00:24.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_06 ) Log.txt,14, 3897964, 12960, 537797, 244232497,  00:27:42.4,  02:37:58.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,1, 1104818, 10104, 289437, 32689618,  00:01:27.7,  00:07:20.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,2, 1130214, 10104, 314833, 32740778,  00:01:48.2,  00:11:55.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,3, 1130214, 10104, 314833, 32740778,  00:01:37.2,  00:11:26.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,4, 1130214, 10104, 314833, 32740778,  00:01:36.8,  00:11:45.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,5, 1130214, 10104, 314833, 32740776,  00:01:50.0,  00:11:28.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,6, 1130214, 10104, 314833, 32740778,  00:01:47.6,  00:11:38.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,7, 1130214, 10104, 314833, 32740778,  00:01:42.3,  00:11:08.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,8, 1130214, 10104, 314833, 32740778,  00:01:37.3,  00:11:10.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,9, 1130214, 10104, 314833, 32740778,  00:02:22.0,  00:11:16.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,10, 1130214, 10104, 314833, 32740778,  00:01:41.5,  00:10:55.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,11, 1130214, 10104, 314833, 32740778,  00:01:36.1,  00:10:51.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,12, 1130214, 10104, 314833, 32740778,  00:01:37.0,  00:11:11.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,13, 1130214, 10104, 314833, 32740778,  00:01:35.2,  00:10:52.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_18 ) Log.txt,14, 1130214, 10104, 314833, 32740778,  02:13:45.5,  02:23:17.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,1, 1105630, 10104, 289773, 32742187,  00:01:48.3,  00:09:12.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,2, 1131054, 10104, 315197, 32793392,  00:02:41.5,  00:13:51.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,3, 1131054, 10104, 315197, 32793390,  00:02:44.2,  00:13:23.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,4, 1131054, 10104, 315197, 32793390,  00:01:52.8,  00:12:12.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,5, 1131054, 10104, 315197, 32793391,  00:02:30.6,  00:12:58.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,6, 1131054, 10104, 315197, 32793397,  00:01:57.9,  00:12:11.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,7, 1131054, 10104, 315197, 32793400,  00:03:01.9,  00:13:49.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,8, 1131054, 10104, 315197, 32793405,  00:02:34.8,  00:13:14.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,9, 1131054, 10104, 315197, 32793410,  00:02:52.3,  00:13:35.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,10, 1131054, 10104, 315197, 32793404,  00:01:52.3,  00:12:12.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,11, 1131054, 10104, 315197, 32793410,  00:01:53.4,  00:12:37.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,12, 1131054, 10104, 315197, 32793411,  00:03:21.4,  00:13:33.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,13, 1131054, 10104, 315197, 32793391,  00:01:58.4,  00:12:10.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_CG_13 ) Log.txt,14, 1131054, 10104, 315197, 32793398,  00:01:49.7,  00:12:03.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,1, 3737132, 21408, 424162, 244059217,  00:16:04.6,  02:18:34.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,2, 3903060, 21408, 590090, 244391080,  00:18:54.7,  03:09:29.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,3, 3903060, 21408, 590090, 244391080,  00:32:01.0,  03:15:04.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,4, 3903060, 21408, 590090, 244391080,  00:32:44.2,  03:23:04.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,5, 3903060, 21408, 590090, 244391080,  00:51:42.0,  03:27:24.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,6, 3903060, 21408, 590090, 244391080,  00:27:11.3,  02:41:28.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,7, 3903060, 21408, 590090, 244391080,  00:48:21.1,  03:10:25.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,8, 3903060, 21408, 590090, 244391080,  01:38:59.0,  04:07:02.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,9, 3903060, 21408, 590090, 244391080,  01:05:51.8,  03:25:07.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,10, 3903060, 21408, 590090, 244391080,  00:48:59.9,  03:11:14.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,11, 3903060, 21408, 590090, 244391080,  00:51:50.4,  03:18:17.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,12, 3903060, 21408, 590090, 244391080,  00:27:26.6,  02:57:17.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,13, 3903060, 21408, 590090, 244391080,  00:31:12.1,  03:01:05.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_PJM_03 ) Log.txt,14, 3903060, 21408, 590090, 244391080,  00:45:21.2,  03:11:25.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_13 ) Log.txt,1, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,1, 3732036, 12960, 371869, 243900632,  00:14:23.3,  02:01:36.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,2, 3897964, 12960, 537797, 244232497,  00:31:54.0,  02:42:49.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,3, 3897964, 12960, 537797, 244232497,  00:27:49.5,  02:34:07.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,4, 3897964, 12960, 537797, 244232497,  00:45:01.3,  02:56:13.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,5, 3897964, 12960, 537797, 244232497,  00:27:07.6,  02:42:44.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,6, 3897964, 12960, 537797, 244232497,  00:27:37.4,  02:42:00.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,7, 3897964, 12960, 537797, 244232497,  00:46:37.4,  02:57:02.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,8, 3897964, 12960, 537797, 244232497,  00:31:12.5,  02:48:21.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,9, 3897964, 12960, 537797, 244232497,  00:43:00.6,  02:58:20.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,10, 3897964, 12960, 537797, 244232497,  01:28:22.7,  03:45:36.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,11, 3897964, 12960, 537797, 244232497,  00:21:35.5,  02:30:49.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,12, 3897964, 12960, 537797, 244232497,  00:45:21.7,  02:58:52.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,13, 3897964, 12960, 537797, 244232497,  00:43:51.0,  02:51:15.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NE_04 ) Log.txt,14, 3897964, 12960, 537797, 244232497,  00:22:05.5,  02:34:03.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,1, 1053014, 8112, 231006, 32524751,  00:01:09.7,  00:06:35.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,2, 1078410, 8112, 256402, 32575626,  00:01:38.5,  00:10:50.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,3, 1078410, 8112, 256402, 32575626,  00:01:39.4,  00:11:45.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,4, 1078410, 8112, 256402, 32575626,  00:02:05.5,  00:11:43.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,5, 1078410, 8112, 256402, 32575626,  00:01:32.8,  00:09:51.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,6, 1078410, 8112, 256402, 32575626,  00:01:57.1,  00:10:14.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,7, 1078410, 8112, 256402, 32575626,  00:01:29.5,  00:09:36.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,8, 1078410, 8112, 256402, 32575626,  00:01:35.2,  00:10:11.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,9, 1078410, 8112, 256402, 32575626,  00:01:31.2,  00:09:37.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,10, 1078410, 8112, 256402, 32575626,  00:01:27.3,  00:09:56.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,11, 1078410, 8112, 256402, 32575626,  00:01:37.9,  00:10:13.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,12, 1078410, 8112, 256402, 32575626,  00:01:35.5,  00:09:55.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,13, 1078410, 8112, 256402, 32575626,  00:02:01.5,  00:10:11.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_NT_15 ) Log.txt,14, 1078410, 8112, 256402, 32575626,  00:01:31.6,  00:10:06.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,1, 3748836, 22704, 439856, 244104882,  00:14:32.3,  02:04:34.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,2, 3914764, 22704, 605784, 244436749,  00:36:46.4,  03:05:39.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,3, 3914764, 22704, 605784, 244436749,  00:53:21.0,  03:13:59.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,4, 3914764, 22704, 605784, 244436749,  00:50:31.7,  03:14:27.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,5, 3914764, 22704, 605784, 244436749,  00:59:51.5,  03:25:47.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,6, 3914764, 22704, 605784, 244436749,  00:32:41.3,  02:56:51.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,7, 3914764, 22704, 605784, 244436749,  00:50:58.5,  03:06:52.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_MISO_26 ) Log.txt,8, 3914764, 22704, 605784, 244436749,  00:31:12.2,  02:49:20.0. 
